"ASV","TrueSignal","Z_Raw","Z_Smoothed","P_Raw","P_Smoothed","Sig_Raw","Sig_Smoothed","Z_Change","P_Log_Ratio"
"ASV059",FALSE,0.321850733073853,0.275869613375762,0.747905312245169,0.782648213593738,FALSE,FALSE,-0.045981119698091,-0.0197199803412271
"ASV026",FALSE,-0.0928826453520559,0.00122006142405525,0.926090706887709,0.999026532068024,FALSE,FALSE,0.0941027067761112,-0.0329234961618012
"ASV077",FALSE,0.201131658404289,0.195063621197312,0.840802094496512,0.845343141562001,FALSE,FALSE,-0.00606803720697749,-0.00233924861097833
"ASV094",FALSE,-1.02707281113436,-0.618099818993246,0.305639262812109,0.536509541613837,FALSE,FALSE,0.40897299214111,-0.244368306615227
"ASV027",FALSE,0.888029533654541,0.649490821910458,0.37560234726228,0.516021176929128,FALSE,FALSE,-0.238538711744083,-0.137939227299121
"ASV005",FALSE,1.29831739747548,0.918162104453773,0.195688490640854,0.358534004985384,FALSE,FALSE,-0.380155293021709,-0.262965068897629
"ASV092",FALSE,-0.206430783545885,-0.080107391155515,0.836666543510014,0.936151844350276,FALSE,FALSE,0.12632339239037,-0.0487938944247986
"ASV093",FALSE,-0.740548095341701,-0.436000356309964,0.459844759325129,0.662836471053618,FALSE,FALSE,0.304547739031737,-0.158795155099656
"ASV045",FALSE,-1.45725296400265,-0.910335185856966,0.146630689467963,0.362645767738392,FALSE,FALSE,0.54691777814568,-0.393257736728065
"ASV099",FALSE,-0.0183517582624372,0.0443232694386519,0.98537671675711,0.964646723568992,FALSE,FALSE,0.0626750277010891,0.00923400265838122
"ASV088",FALSE,-0.215676009407581,-0.0863174150778313,0.829462314827795,0.931214094913563,FALSE,FALSE,0.12935859432975,-0.0502528814664339
"ASV011",FALSE,0.167041532191044,0.166972938472833,0.86750784121944,0.867391341947853,FALSE,FALSE,-6.85937182109964e-05,5.83261452460533e-05
"ASV083",FALSE,0.335203253586173,0.283989610014071,0.737826637454309,0.776418342995777,FALSE,FALSE,-0.0512136435721022,-0.0221414567770908
"ASV055",FALSE,1.56311576723185,1.09698238956015,0.119622230390103,0.272649090447938,FALSE,FALSE,-0.466133377671695,-0.357792157533071
"ASV068",FALSE,-0.45163312833679,-0.23755275827168,0.652027608817261,0.812227995073096,FALSE,FALSE,0.21408037006511,-0.095411968785018
"ASV019",FALSE,-0.0585923467929039,0.0226042233023705,0.953335897686864,0.981965974981427,FALSE,FALSE,0.0811965700952745,-0.0128504931807447
"ASV036",FALSE,0.795044713892572,0.58791162640885,0.427539486058728,0.556591612189465,FALSE,FALSE,-0.207133087483722,-0.114560426405908
"ASV056",FALSE,-0.383708390316233,-0.194953961329623,0.701606297920529,0.845428989528119,FALSE,FALSE,0.188754428986609,-0.08098365679703
"ASV009",FALSE,0.319584660774929,0.271183091049742,0.74962014859973,0.786250217269007,FALSE,FALSE,-0.0484015697251863,-0.0207195272814883
"ASV097",FALSE,0.339141377370666,0.284431195551317,0.734862646691115,0.776079955184977,FALSE,FALSE,-0.054710181819349,-0.0237002938889889
"ASV002",FALSE,1.03115958255286,0.743046379793048,0.303723903656443,0.45745360118356,FALSE,FALSE,-0.288113202759817,-0.177868077737859
"ASV065",FALSE,-0.269134923048222,-0.118515659468849,0.788106100201813,0.905659088077563,FALSE,FALSE,0.150619263579373,-0.060380060419337
"ASV082",FALSE,-0.436546814212518,-0.229895836330646,0.662915701148884,0.81817271181162,FALSE,FALSE,0.206650977881872,-0.0913866851552045
"ASV003",FALSE,0.829988738044355,0.608855952196672,0.407544739072947,0.542619922757107,FALSE,FALSE,-0.221132785847683,-0.124320443938963
"ASV089",FALSE,-0.96548133693444,-0.580053102966055,0.335481520534102,0.561878807838395,FALSE,FALSE,0.385428233968385,-0.223974049546778
"ASV061",FALSE,0.459754469642557,0.365821308648812,0.646196885551095,0.714498418386252,FALSE,FALSE,-0.0939331609937444,-0.0436364112385783
"ASV054",FALSE,0.447469028867471,0.357776355304719,0.65502558918918,0.720510686619984,FALSE,FALSE,-0.0896926735627521,-0.0413821602122608
"ASV076",FALSE,0.503146643436043,0.394657362305708,0.615420418292508,0.69309577362088,FALSE,FALSE,-0.108489281130335,-0.05162134951814
"ASV001",FALSE,0.308094702230537,0.265213496351019,0.758334144395606,0.790844998490569,FALSE,FALSE,-0.0428812058795176,-0.0182307616114304
"ASV049",FALSE,1.21777039419232,0.868034311663455,0.224760472067437,0.385375549363987,FALSE,FALSE,-0.34973608252887,-0.234164221255995
"ASV100",FALSE,0.824314665911074,0.605491844646277,0.410752674702551,0.544852241835943,FALSE,FALSE,-0.218822821264797,-0.122698342058133
"ASV028",FALSE,-0.303657218303068,-0.141923489590087,0.76170790356628,0.887140440111099,FALSE,FALSE,0.161733728712981,-0.0662039150151763
"ASV033",FALSE,-1.98194517595951,-1.25446319974762,0.0488687503804731,0.20967369357139,TRUE,FALSE,0.727481976211887,-0.632512711853605
"ASV018",FALSE,-1.06096192502401,-0.645743612046471,0.28999963097219,0.518445411429455,FALSE,FALSE,0.415218312977538,-0.252305589794337
"ASV096",FALSE,0.759504453588975,0.560885293779983,0.448454147112483,0.574875736005498,FALSE,FALSE,-0.198619159808992,-0.10785593406427
"ASV058",FALSE,-0.461500045183484,-0.249281368990692,0.644946486423311,0.803143141909198,FALSE,FALSE,0.212218676192793,-0.0952692741194539
"ASV098",FALSE,1.4754054987211,1.03308367747089,0.141691969162718,0.301564741207883,FALSE,FALSE,-0.442321821250209,-0.32803532674033
"ASV057",FALSE,-1.24503811657245,-0.767857513203218,0.214589257272207,0.442571841293515,FALSE,FALSE,0.477180603369232,-0.314375801808196
"ASV071",FALSE,-2.11713851233601,-1.34661390621176,0.0354963878163048,0.17810461306575,TRUE,FALSE,0.770524606124251,-0.700491007591918
